symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 SMR   ,NuScale Power Corporation,20.28,-0.54,-2.59%,5.941M,11.187M ,2.452B,- ,946.23% 
 SU   ,Suncor Energy Inc.,39.07,-1.04,-2.59%,6.959M,4.185M ,49.115B,9.02 ,24.07% 
 IDEXY   ,"Industria de Diseño Textil, S.A.",25.20,-0.67,-2.59%,"75,942","223,688 ",161.315B,27.39 ,18.42% 
 URBN   ,"Urban Outfitters, Inc.",53.21,-1.41,-2.58%,2.17M,1.812M ,4.91B,15.25 ,33.49% 
 EBR   ,Centrais Elétricas Brasileiras S.A. - Eletrobrás,5.72,-0.15,-2.56%,1.205M,1.543M ,12.404B,7.84 ,-32.71% 
 BBIO   ,"BridgeBio Pharma, Inc.",34.11,-0.89,-2.54%,2.842M,2.224M ,6.615B,- ,-4.48% 
 ACHC   ,"Acadia Healthcare Company, Inc.",41.95,-1.09,-2.53%,1.231M,1.844M ,3.897B,13.75 ,-51.18% 
 MTN   ,"Vail Resorts, Inc.",180.05,-4.67,-2.53%,1.137M,"556,040 ",6.741B,29.71 ,-19.32% 
 NE   ,Noble Corporation plc,33.76,-0.87,-2.51%,1.702M,1.878M ,5.415B,9.93 ,-20.70% 
 ASTS   ,"AST SpaceMobile, Inc.",21.00,-0.54,-2.51%,3.294M,8.725M ,6.241B,- ,597.09% 
